"Freq [GHz]","dB(St(FloquetPort1:1,FloquetPort1:1)) []","dB(St(FloquetPort2:1,FloquetPort1:1)) []"
3,-8.23653163192205,-0.847508051390892
3.015,-8.35270546482369,-0.827853054294972
3.03,-8.46993685928329,-0.808643481944675
3.045,-8.58821622261136,-0.789875274569478
3.06,-8.70753234802233,-0.77154435785512
3.075,-8.8278722783078,-0.753646643704656
3.09,-8.94922115936549,-0.736178031029347
3.105,-9.0715620830111,-0.719134406567192
3.12,-9.19487591850258,-0.702511645727039
3.135,-9.31914113221573,-0.686305613456093
3.15,-9.44433359493095,-0.670512165128789
3.165,-9.57042637622329,-0.65512714745494
3.18,-9.69738952549639,-0.640146399405243
3.195,-9.82518983926641,-0.62556575315204
3.21,-9.95379061438946,-0.611381035023534
3.225,-10.0831513870383,-0.597588066469471
3.24,-10.2132276573755,-0.584182665036501
3.255,-10.3439706000456,-0.571160645351414
3.27,-10.4753267608219,-0.558517820110459
3.285,-10.6072377400036,-0.546250001073087
3.3,-10.7396398634627,-0.534353000058464
3.315,-10.8724638426088,-0.522822629943104
3.33,-11.005634424957,-0.511654705658128
3.345,-11.1390700374813,-0.500845045184624
3.36,-11.2726824254943,-0.490389470545673
3.375,-11.4063762904331,-0.480283808793647
3.39,-11.5400489306476,-0.470523892991464
3.405,-11.673589890082,-0.461105563186489
3.42,-11.8068806206103,-0.452024667375925
3.435,-11.9397941647313,-0.443277062462427
3.45,-12.0721948663264,-0.434858615198959
3.465,-12.2039381182314,-0.426765203121716
3.48,-12.3348701564415,-0.418992715470215
3.495,-12.4648279118215,-0.411537054093554
3.51,-12.5936389312084,-0.404394134341977
3.525,-12.7211213806977,-0.397559885942908
3.54,-12.847084144664,-0.391030253860686
3.555,-12.9713270345925,-0.384801199139264
3.57,-13.0936411220232,-0.378868699727223
3.585,-13.213809209749,-0.373228751284445
3.6,-13.3316064547639,-0.367877367969924
3.615,-13.4468011552527,-0.362810583210168
3.63,-13.5591557120533,-0.358024450447721
3.645,-13.6684277724415,-0.35351504386939
3.66,-13.7743715607375,-0.349278459113821
3.675,-13.8767393960939,-0.345310813958054
3.69,-13.9752833929143,-0.34160824898281
3.705,-14.0697573337509,-0.338166928216234
3.72,-14.1599186983541,-0.33498303975593
3.735,-14.2455308259992,-0.332052796369083
3.75,-14.3263651815326,-0.329372436070577
3.765,-14.402203689081,-0.326938222679014
3.78,-14.4728410913882,-0.324746446350577
3.795,-14.5380872876782,-0.322793424090728
3.81,-14.597769599145,-0.321075500243765
3.825,-14.6517349090134,-0.319589046960251
3.84,-14.6998516238678,-0.318330464642463
3.855,-14.7420114048206,-0.317296182367882
3.87,-14.7781306211675,-0.316482658290939
3.885,-14.8081514853985,-0.315886380023114
3.9,-14.8320428366052,-0.315503864991615
3.915,-14.8498005491193,-0.315331660776816
3.93,-14.8614475541677,-0.315366345428709
3.945,-14.8670334739095,-0.315604527762599
3.96,-14.866633878829,-0.316042847634319
3.975,-14.8603491905082,-0.316677976195247
3.99,-14.848303261743,-0.317506616127439
4.005,-14.8306416743376,-0.318525501859189
4.02,-14.8075298013548,-0.319731399761322
4.035,-14.7791506849148,-0.321121108324633
4.05,-14.7457027827469,-0.322691458318747
4.065,-14.7073976366767,-0.324439312932821
4.08,-14.6644575142662,-0.326361567898452
4.095,-14.6171130711921,-0.328455151595167
4.11,-14.5656010769982,-0.330717025138898
4.125,-14.510162240964,-0.333144182453825
4.14,-14.4510391683664,-0.335733650328036
4.155,-14.3884744707374,-0.338482488453332
4.17,-14.3227090471426,-0.341387789449689
4.185,-14.2539805472791,-0.344446678874714
4.2,-14.1825220215217,-0.347656315218558
4.215,-14.1085607580565,-0.35101388988469
4.23,-14.032317303013,-0.354516627156946
4.245,-13.9540046560739,-0.358161784153316
4.26,-13.8738276313744,-0.361946650766813
4.275,-13.7919823715705,-0.365868549593935
4.29,-13.708656001681,-0.36992483585106
4.305,-13.6240264086088,-0.374112897279246
4.32,-13.5382621320356,-0.378430154037811
4.335,-13.4515223525724,-0.382874058587134
4.35,-13.3639569635474,-0.387442095561052
4.365,-13.2757067135461,-0.392131781629288
4.38,-13.1869034077138,-0.396940665350296
4.395,-13.0976701568342,-0.401866327014896
4.41,-13.0081216642476,-0.406906378481124
4.425,-12.9183645417446,-0.412058463000649
4.44,-12.8284976466148,-0.417320255037168
4.455,-12.738612433043,-0.4226894600771
4.47,-12.6487933119887,-0.428163814433016
4.485,-12.5591180145684,-0.433741085040075
4.5,-12.4696579547602,-0.439419069245928
4.515,-12.3804785879763,-0.445195594594312
4.53,-12.2916397626948,-0.451068518602791
4.545,-12.2031960629128,-0.457035728534893
4.56,-12.1151971396805,-0.46309514116701
4.575,-12.0276880304081,-0.469244702550365
4.59,-11.9407094650052,-0.475482387768366
4.605,-11.8542981582265,-0.481806200689642
4.62,-11.7684870878604,-0.488214173717052
4.635,-11.6833057586166,-0.49470436753299
4.65,-11.5987804517448,-0.501274870841209
4.665,-11.5149344605657,-0.507923800105513
4.68,-11.4317883122069,-0.514649299285513
4.695,-11.3493599759282,-0.521449539569756
4.71,-11.2676650584893,-0.528322719106451
4.725,-11.1867169870589,-0.535267062732067
4.74,-11.1065271802045,-0.542280821698013
4.755,-11.0271052075177,-0.54936227339563
4.77,-10.9484589384451,-0.556509721079763
4.785,-10.8705946808958,-0.563721493591069
4.8,-10.7935173101912,-0.570995945077318
4.815,-10.7172303889159,-0.578331454713873
4.83,-10.6417362782107,-0.585726426423537
4.845,-10.5670362410346,-0.593179288595987
4.86,-10.4931305379011,-0.600688493806918
4.875,-10.4200185155744,-0.608252518537193
4.89,-10.3476986891876,-0.615869862891994
4.905,-10.2761688182219,-0.623539050320314
4.92,-10.2054259767641,-0.631258627334844
4.935,-10.1354666184364,-0.639027163232421
4.95,-10.0662866363676,-0.64684324981523
4.965,-9.99788141855634,-0.654705501112849
4.98,-9.93024589895278,-0.662612553105296
4.995,-9.86337460456591,-0.670563063447206
5.01,-9.79726169888317,-0.678555711193269
5.025,-9.7319010218709,-0.68658919652503
5.04,-9.66728612680561,-0.694662240479185
5.055,-9.6034103141695,-0.702773584677469
